,year,month,media,title,annotator 1,annotator 2,annotator 3,label
97,2018,7,reason,Is Bitcoin the Future of Money? Peter Schiff vs. Erik Voorhees,0,0,0,0
98,2017,2,wsj,Criminal-Justice Reform Efforts Brace for Tough Road,0,0,0,0
99,2014,8,washt,British embassy in DC apologizes for celebrating 1814 burning of White House,0,0,0,0
100,2020,7,nyt,The Democrats Are Downsizing Their Convention to Almost Nothing,1,1,1,1
101,2017,4,wsj,Social Impact Fund Leads $190 Million Investment in EverFi,0,0,0,0
102,2021,5,wsj,Oil Majors Look to Fill Businesses Growing Appetite for Green Power,0,0,0,0
103,2017,3,fedlist,Why The GOP Obamacare Repeal Wont Stop Health-Care Hyperinflation,1,1,1,1
104,2018,8,nyt,Put Our Civil Rights Heroes on a Pedestal,0,0,1,0
105,2020,2,nyt,Teaching Old American Food New Tricks,0,0,0,0
106,2016,4,reason,"Obama Urges Britain to Remain in European Union, Says UK Could Go to Back of Trade Deal Line",1,0,0,0
107,2016,11,bbg,meet the canadians trying to get hillary clinton elected,1,0,1,1
108,2021,8,wsj,Peru May Join Cubas Authoritarian Axis,1,0,0,0
109,2020,12,wsj,Has the Fed Rewritten the Laws of Investing?,0,0,0,0
110,2021,5,nyt,Joe Biden Is Electrifying America Like F.D.R.,0,0,1,0
111,2016,7,nyt,Learning From the Past After Brexit,0,0,0,0
112,2019,8,washt,Stephanie Grisham: Trump China trade war regrets 'greatly misinterpreted',1,1,1,1
113,2016,10,nyt,A Confrontation With Charlotte Police,1,0,1,1
114,2018,2,nyt,Alec Baldwin Skewers Trump. And Supports Allen and Toback.,0,0,0,0
115,2015,10,nyt,Political Lies About Police Brutality,0,1,0,0
116,2015,12,nyt,Ted Cruz Hits Marco Rubio on Immigration in New Ad,0,1,0,0
117,2018,2,cnn,US-led coalition strikes kill pro-regime forces in Syria,1,1,0,1
118,2018,3,wsj,Exchanges Fees and Rebates Could Get a Cut,0,0,0,0
119,2015,11,nyt,Panels Advise Bolstering W.H.O. for Crises Like Ebola,0,0,0,0
120,2021,10,nyt,"With Biden Agenda in Limbo, Democrats Work to Sell an Unfinished Promise",0,1,1,1
121,2017,1,nyt,Canada Today: Trump Is a Blessing and a Curse for Trudeau,1,1,1,1
122,2018,12,reason,"Internet Freedom Swirling Around Drain as Dems, Reps Threaten Antitrust Action on Google, et al",0,1,1,1
123,2015,9,reason,"Christie, Bush Put on Defensive on Marijuana Legalization",0,0,0,0
124,2022,3,fedlist,Democrats Smear Josh Hawley For Revealing They Dont Care If Supreme Court Justices Love Perverts And Hate The Constitution,1,1,1,1
125,2018,2,nbc,Want to stop America's slide toward authoritarianism? Give all immigrants the right to vote,1,1,1,1
126,2017,5,washt,Donald Trump: Police need better protection,0,0,0,0
127,2022,2,bbg,japan should press china more on human rights pm adviser says,1,1,1,1
128,2015,9,christian,Will the wage-poaching settlement change how tech companies recruit?,0,0,0,0
129,2015,10,wsj,Making the Republican Case for Black Support,1,0,1,1
130,2015,9,cnn,What Bible verse does Donald Trump have memorized?,0,1,1,1
131,2014,9,washt,House GOP pushes bill to let insurers ignore Obamacare standards,1,0,1,1
132,2016,10,wsj,Goldman Sachs Has a New Model: Apple,0,0,0,0
133,2014,4,wsj,Support Grows to Make Jets Tamper-Proof,0,0,0,0
134,2015,1,christian,"Tax reform: Why it's needed, why it's hard for Washington to get it done.",0,1,0,0
135,2017,6,cnn,GOP Rep. stands by comment Obama partly to blame for climate that led to Scalise shooting,1,1,1,1
136,2017,3,reason,"Obamacare Repeal Bill Dies in the House, Free Speech Threatened at DePaul: P.M. Links",0,1,1,1
137,2014,4,wsj,Centene Profit Rises on Expanded Memberships,0,0,0,0
138,2014,6,nyt,"For Virginias Don Beyer, Obama Is Still a Positive",0,0,0,0
139,2014,5,nyt,"Acquitted of Murder, Rapper Is Convicted on Weapons Charge",0,0,0,0
140,2017,9,fedlist,"China Fed North Koreas Nuclear Aggression, And Now China Needs To Help Deal With It",1,1,1,1
141,2022,4,bbg,sec curbs on fading spac boom have wall street rethinking role,0,0,0,0
142,2017,2,wsj,How to Spread Our Values,0,0,0,0
143,2015,8,washt,"Schumer breaks with Obama, opposes Iran deal",1,1,0,1
144,2017,8,nyt,Michael Van Valkenburgh on Park Design,0,0,0,0
145,2021,7,reason,How I Approach Unpopular and Unconventional Legal Views,0,0,0,0
146,2014,2,wsj,Bacteria as Generators of Electricity,0,0,0,0
147,2017,5,wsj,"McCain, Sasse to Vote Against Trump Trade Nominee",1,0,0,0
148,2020,4,nyt,How to Put Your Pantry in Order (and Stop Wasting Food),0,0,0,0
149,2015,4,nyt,"More Married Couples, Same-Sex and Straight, Are Sharing the Job of Pastor",0,0,0,0
150,2014,11,nyt,"Junk Bonds Flourish Amid Low Interest Rates, but So Do Default Worries",0,0,0,0
151,2017,8,nyt,The Alt-Right Finds a New Enemy in Silicon Valley,0,1,0,0
152,2019,2,cnn,"The right is slamming the Green New Deal, and Democrats need to react fast",0,1,1,1
153,2021,1,bbg,billionaires who championed trump have now gone largely quiet,1,1,1,1
154,2016,1,nyt,"Donald Trump, Challenging Political Correctness, Strikes a Chord",1,1,1,1
155,2022,3,nbc,Why Pixar's 'Turning Red' is such a rare coming-of-age tale,0,0,1,0
156,2018,1,cnn,The EPA made a surprise move that could protect the world&s largest salmon fishery,0,0,0,0
157,2015,8,wsj,Obama Must Engage the Iran Deals Critics,1,1,1,1
158,2016,6,nyt,"Expanding Medicare Would Solve Some Problems, Create New Ones",0,1,0,0
159,2014,7,wsj,"If the Shoe Doesn't Fit, Don't Buy It",0,0,0,0
160,2016,11,nyt,"Silicon Valley Helped Create Trump, and Thats Bad for It",1,1,1,1
161,2018,1,nyt,A Photographer Captures His Community in a Changing Chicago Barrio,0,0,0,0
162,2021,3,wsj,How to Build Positive Relationships at Work,0,0,0,0
163,2021,9,cnn,White supremacist praise of the Taliban takeover concerns US officials,1,1,1,1
164,2020,4,nyt,What Happens if Americas 2.5 Million Farmworkers Get Sick?,0,0,0,0
165,2020,3,nbc,Vanessa Bryant 'devastated' by reports Kobe Bryant crash photos shared by first responders,0,0,0,0
166,2019,7,fedlist,What Happens When Courts Treat Frozen Embryos Like Property,0,1,0,0
167,2016,12,cnn,Israel backs away from Jerusalem settlement vote,0,0,1,0
168,2016,1,christian,Why are white supremacists backing Trump?,0,1,1,1
169,2019,11,nyt,Activists Build a Grass-Roots Alliance Against Amazon,0,0,0,0
170,2019,5,reason,Trump's Immigration Plan Could Use Some Work,0,1,0,0
171,2017,9,nbc,Republicans in Congress Want to Roll Back Regulations on Credit Bureaus,0,0,0,0
172,2018,6,wsj,Health Savings Accounts for Everyone,0,0,0,0
173,2016,7,fedlist,Tim Kaines Church Just Proved Donald Trumps Point About Religious Freedom,0,0,1,0
174,2016,4,nbc,He's Fired': Clinton and Audience Member Take Jab at Trump,0,1,1,1
175,2022,8,wsj,House Republicans Still Favored to Win Back Control but Outlook Tightens,1,0,0,0
176,2022,9,bbg,the case for custom indexing,0,0,0,0
177,2020,5,nyt,Learning How to Love From Afar,0,0,0,0
178,2021,3,wsj,Chinese Tech Faces New Curbs on Connecting Banks and Borrowers,0,0,0,0
179,2015,8,nyt,Emery LeCrones Intimate (and Often Emotional) Dance,0,0,0,0
180,2016,6,cnn,David Petraeus: ISIS is on its way to defeat but terrorism threat persists,0,0,0,0
181,2017,6,wsj,"Haven Buying, Weak Dollar Boost Gold",0,0,0,0
182,2016,7,wsj,Trump Campaign Rattles GOPs Economic Pillars,0,1,1,1
183,2019,4,wsj,U.S. Would Rethink Intelligence Ties if Allies Use Huawei Technology,0,0,0,0
184,2020,1,cnn,Bloomberg takes jab at Sanders while pitching himself to Jewish voters,0,1,1,1
185,2018,8,nyt,A Farmer on Trumps Trade War: I Cant Take It,0,1,1,1
186,2017,6,nyt,Bernie Sanders: How Democrats Can Stop Losing Elections,0,0,0,0
187,2016,10,nyt,"A Mother Criticizes Vince Staples, and the Rapper Defends Her",0,0,0,0
188,2022,7,cnn,"Comey, McCabe, Page and Strzok dropped from Trump&s sprawling civil lawsuit",0,0,0,0
189,2019,5,nyt,Impeachment Is a Form of Hope,1,0,1,1
190,2022,3,nyt,What Does Dont Say Gay Actually Say?,0,0,0,0
191,2015,10,cnn,"In criminal justice push, Hillary Clinton calls for end to racial profiling",1,0,1,1
192,2016,1,nyt,Health Reform Is Hard,0,0,0,0
193,2019,7,cnn,Read: Robert Mueller&s opening statements before Congress,0,0,0,0
194,2019,10,wsj,Where an Attorney General Works After Leaving Office,0,0,0,0
195,2022,6,bbg,zendesk is said near agreement with group led by h f permira,0,0,0,0
196,2014,2,cnn,Searching for truth in Venezuela,0,0,0,0
197,2019,2,nbc,"Anger over mom's black boyfriend fueled hate crime, Houston police say",0,0,0,0
198,2018,8,nyt,"Who Gets a New 20% Tax Break? The Treasury Dept. Speaks, and Trump May Save",0,0,1,0
199,2021,11,nyt,"Nathan Johnson, Modernist Architect of Black Churches, Dies at 96",0,0,0,0
200,2015,12,christian,How strongly do Americans support religious rights? Depends on the religion.,0,0,0,0
201,2017,11,cnn,DOJ ramps up sanctuary cities battle as court deals it another blow,0,1,0,0
202,2016,1,nbc,"Who Is Kate del Castillo, And What Did She Write to El Chapo?",0,0,0,0
203,2021,1,wsj,Capitol Riot Strains Trump-Pence Relationship,1,1,1,1
204,2020,11,bbg,what big companies say about the harvard affirmative action case,0,0,0,0
205,2021,11,bbg,house democrats agree on strategy to move biden agenda,0,0,0,0
206,2019,6,nbc,#Pride50: Del Martin — Pioneering lesbian activist,0,0,1,0
207,2017,7,wsj,Cures for Hunger,0,0,0,0
208,2021,12,wsj,The Mutual Fund That Ate Wall Street—Based on an Index Few People Know About,0,0,0,0
209,2019,7,nyt,U.S. Proposes New Tariffs on $4 Billion of E.U. Goods as Trade Dispute Grows,1,0,0,0
210,2022,2,bbg,meta stock slide puts spotlight on tech antitrust bill criteria,0,0,0,0
211,2020,6,wsj,Coronavirus Pandemic Makes Jobless Rate Calculation Harder,0,0,0,0
212,2018,9,nyt,"In Texas, Ted Cruz Has a Dogfight on His Hands, Some Republicans Admit",0,1,1,1
213,2016,7,cnn,Everything you wanted to know about Pokémon GO but were afraid to ask,0,0,0,0
214,2020,4,washt,Border wall plans reduced as costs exceed $15 billion,0,0,0,0
215,2018,5,bbg,in some states the prison population just keeps growing,0,0,0,0
216,2018,10,fedlist,"Im On Welfare, And Thats How I Know It Needs To Be Abolished",0,0,0,0
217,2021,1,cnn,GOP senators warn McConnell could face backlash if he votes to convict Trump,1,1,1,1
218,2021,6,cnn,Dissents from the bench: A Supreme Court tradition missing during Covid,0,0,0,0
219,2019,1,cnn,What happened in markets today,0,0,0,0
220,2019,12,nyt,Trump Backs Down From Threat to Place Tariffs on Brazilian Steel,1,0,0,0
221,2014,1,nyt,Standing Tall on Its Own,0,0,0,0
222,2016,10,nyt,The Movement to End Racist Voting Laws,0,0,1,0
223,2020,6,nyt,Schools Out. Parental Burnout Isnt Going Away.,0,0,1,0
224,2015,3,bbg,life in the ukraine after one year of war,0,0,0,0
225,2014,11,nyt,Sharing a Love of the Outdoors,0,0,0,0
226,2017,9,nyt,Actor Tobias Menzies on the Outlander Death We All Knew Was Coming,0,0,0,0
227,2020,2,washt,Donald Trump admits he makes AG William Barr's job harder,0,1,1,1
228,2017,5,nyt,The Debate Over National Monuments,0,0,0,0
229,2016,1,wsj,Emerging Market Currencies Boosted by Oil Price Rise,0,0,0,0
230,2021,8,nyt,Patience Runs Thin in Haiti Quake Zone as Fights Erupt for Cash and Food,0,0,0,0
231,2017,9,wsj,The Tenuous Logic Behind Republicans About-Face on Debt,0,1,1,1
232,2017,10,nbc,"Silencers, Armor-Piercing Bullets: Congress Looks to Roll Back Gun Laws",0,0,0,0
233,2019,2,fedlist,President Trump Should Take Some Credit For Our New Morning In America,0,1,1,1
234,2018,1,fedlist,Lamar Alexander Wants To Bail Out Health Regulators Who Misjudged Billions,0,0,0,0
235,2019,2,nyt,"Trump, Inching Toward Border Security Deal, Says Shutdown Would Be Terrible",1,0,1,1
236,2018,2,nbc,The truth about Russia's electoral interference requires Trump answer Mueller's questions,1,1,1,1
237,2018,3,nyt,Term Limits for Justices,0,0,0,0
238,2022,3,nyt,What You Get for $3 Million,0,0,0,0
239,2015,7,bbg,google cfo ruth porat brings fiscal discipline,0,0,0,0
240,2015,1,nyt,G.O.P. Turns to the Courts to Aid Agenda,0,0,0,0
241,2019,5,nyt,Risk to Turkeys Economy Deepens With New Istanbul Election,0,0,0,0
242,2016,9,nyt,What San Francisco Says About America,0,0,0,0
243,2019,2,fedlist,Anti-Semite Rep. Ilhan Omars Attempt To Re-Litigate The Cold War Is Absurd,1,1,1,1
244,2022,5,nyt,Spelling Bee Forum,0,0,0,0
245,2018,11,nbc,Trump's America is deeply partisan. Could infrastructure initiatives help heal our divisions?,1,1,1,1
246,2022,6,bbg,xi s tightening grip on hong kong ushers in new era of doubt,1,0,0,0
247,2019,3,cnn,EPA head says clean-water access is &biggest environmental threat& -- despite regulation rollbacks,0,1,0,0
248,2020,12,nbc,Trump's election lies show U.S. democracy isn't idiot-proof. The 'deep state' must fight back.,1,1,1,1
249,2015,8,christian,New Obama climate push: Let them make power,0,0,1,0
250,2019,1,washt,The @#%&* Democrats just can't stop with the profanity,0,1,1,1
251,2019,1,wsj,The Coast Guard Leads the Way in Industry Partnerships,0,0,0,0
252,2017,7,wsj,"A Bomb Without Bombast, in Contrast With Kim Jong Un",0,0,1,0
253,2021,11,nyt,A.N.C. Suffers Worst Election Setback Since End of Apartheid,1,1,0,1
254,2018,4,nyt,"A Rebuke to Trump, a Century in the Making",1,1,1,1
255,2017,12,wsj,Tax Law Could Further Slow Down a Bank Favorite: Jumbo Mortgages,0,0,0,0
256,2018,3,washt,Stormy Daniels truthers see Trump North Korea talks as smokescreen,0,1,0,0
257,2021,11,nyt,New Yorks Subway Gets a Makeover,0,0,0,0
258,2016,7,christian,"Why, this time, free trade has hit American workers so hard",0,1,0,0
259,2014,1,reason,Peter Suderman on How Republicans Could Replace Obamacare,1,0,1,1
260,2017,4,cnn,"Trump says China has turned back N. Korean coal ships, lauds it as &big step&",1,0,0,0
261,2017,4,wsj,How to Stop Worrying and Learn to Love the Nuclear Option,1,0,0,0
262,2014,7,washt,Rand Paul revolution in Silicon Valley,0,0,0,0
263,2015,4,nbc,Adoption: 5 Red Flags,0,0,0,0
264,2017,9,wsj,Equifax Customer Complaints Keep Piling Up,0,0,0,0
265,2014,11,wsj,Best of the Web Today: There Was No Republican Wave,0,1,1,1
266,2018,11,wsj,Merrill Lynch Cuts Broker Pay,0,0,0,0
267,2016,8,fedlist,The Rise Of Progressivism And Administrative Agency In American History,0,0,0,0
268,2021,12,washt,"Sen. Roy Blunt: Biden's $1.75T social welfare plan would hurt economy, increase inflation",1,1,0,1
269,2014,8,washt,Hillary Clinton blasts Obama over 'stupid' foreign policies plan,1,1,1,1
270,2018,8,wsj,Both Sides Can Win the Trade War,0,0,0,0
271,2019,12,fedlist,Can This Be Hell? This Month We Remember Those Who Died Fighting For Freedom,1,1,1,1
272,2017,5,wsj,The Hollywood Hills Home of Harry Styles,0,0,0,0
273,2014,6,nyt,No-Trump Outscores the Major at Eastern States Regional,1,1,1,1
274,2015,4,wsj,Chinese Province Delays Bond Sale,0,0,0,0
275,2022,6,bbg,covid zero policy most economic effective for china xi says,0,0,0,0
276,2017,4,wsj,Funds Have 18 Months to Prepare for Brexit,0,0,0,0
277,2018,10,cnn,The Wing opens &tech bro alternative& space in San Francisco,0,0,0,0
278,2018,9,wsj,A Look at Republicans Chosen Questioner,0,0,0,0
279,2020,1,nyt,Trump Rule Would Exclude Climate Change in Infrastructure Planning,1,0,0,0
280,2020,4,washt,President Trump: I like Justin Amash 'more than Jill Stein',0,0,0,0
281,2014,10,fedlist,"No, Democrats Havent Won The Culture War",1,1,1,1
282,2018,7,nyt,"What You Get for $850,000",0,0,0,0
283,2020,2,cnn,Trump just granted clemency to 11 people. Here&s a look at each.,0,0,0,0
284,2021,4,reason,The Misleading Push for Corporate Tax Hikes,1,0,0,0
285,2014,4,cnn,Earn less to land a husband?,0,0,0,0
286,2020,5,nyt,"Golfers Embrace CBD, Even as Its Gentility Is Questioned",0,0,0,0
287,2015,2,wsj,Free Doesnt Equal Learning Success,0,0,0,0
288,2018,6,wsj,Tops Markets Reaches Deal With Pension Fund,0,0,0,0
289,2016,12,wsj,How Individual Investors Can Invest in Startups,0,0,0,0
290,2014,1,nyt,Who Does Hip-Hop Belong To?,0,0,0,0
291,2018,8,nyt,What Are Capitalists Thinking?,0,0,0,0
292,2017,6,reason,Republicans Are Keeping Their Health Care Bill Secret Because They Can't Defend It On the Merits,1,1,1,1
293,2019,10,cnn,This man is running for governor of California so he can run false Facebook ads,0,1,1,1
294,2015,10,wsj,Budget Deal Stirs Anger on the Right,1,1,1,1
295,2016,6,wsj,A New American Deal for Europe,0,0,1,0
296,2019,8,wsj,Dont Overthink Overstock.com,0,0,0,0
297,2020,11,reason,"To Help Kids Find Their Passion, Give Them Free Time",0,0,0,0
298,2020,4,cnn,"Model predicts Covid-19 pandemic will &peter out& by May, but experts are skeptical",0,0,0,0
299,2020,3,fedlist,Joe Biden Lies About Coronavirus Testing To Make Trump Look Bad,1,1,1,1
300,2016,4,wsj,Let Me Ask America a Question,0,0,0,0
301,2017,2,nyt,How Can We Get Rid of Trump?,1,1,1,1
302,2015,8,nyt,Preventing Suicide in Americas Jails,0,0,0,0
303,2018,7,nbc,"Terminally ill American robbed on Italian vacation, pens 'open letter' forgiving thief",0,1,0,0
304,2015,2,washt,"Judge Andrew Hanen's Obama amnesty ruling cites executive overreach, burden on states",0,0,0,0
305,2022,4,nyt,How to Make Sense of the New L.G.B.T.Q. Culture War,0,1,0,0
306,2022,1,bbg,mike novogratz sees bitcoin finding bottom at 38 000 40 000,0,0,0,0
307,2022,2,wsj,"For a Clean-Energy Future, We Need Deregulation",0,0,0,0
308,2021,2,bbg,battery trade dispute could test biden s green policy plans,0,0,0,0
309,2017,8,cnn,How to make the most of your Dubai stopover,0,0,0,0
310,2016,5,washt,Arnold Scwharzenegger will announce his presidential preference in his own 'unusual' way,0,0,0,0
311,2022,6,reason,Christopher Alexander's Utopian Blueprint,0,0,0,0
312,2017,4,cnn,"President Trump, what&s your endgame?",1,1,1,1
313,2017,6,nyt,Where Can You Get the Most Space for the Money?,0,0,0,0
314,2020,6,cnn,Trump&s outrageous new vote-by-mail attack,1,1,1,1
315,2014,12,reason,Jonathan Gruber was right about political ignorance,1,0,1,1
316,2020,7,wsj,New U.S. Rules on Foreign Students Put Universities in Dilemma,1,1,0,1
317,2020,1,cnn,Build your digital marketing skills with this 12-course bundle,0,0,0,0
318,2016,4,cnn,Meet the new GOP tax plan,0,0,0,0
319,2020,12,nyt,Prominent Architects Group Prohibits Design of Death Chambers,0,0,0,0
320,2020,10,cnn,&Bruce Springsteen&s Letter to You& is a valentine to his fans and the E Street Band,0,0,0,0
321,2018,10,wsj,Firm Retention Summary: Samuels Jewelers Inc.,0,0,0,0
322,2018,4,reason,New Backpage Ruling Lays Bare Some of the Lies Undergirding FOSTA,0,0,0,0
323,2022,5,bbg,warren bill would require companies to explain price hikes,0,0,0,0
324,2019,4,washt,Is Joe Biden the inevitable Democratic nominee?,0,1,0,0
325,2020,12,wsj,"The GOP Abandoned Fiscal Discipline Long, Long Ago",1,1,1,1
326,2017,1,christian,How Donald Trump fits in the 'post-truth' world,0,1,1,1
327,2018,12,nyt,"Putting Fossil Fuels First, the Planet Second",0,1,0,0
328,2014,12,nyt,Push to Provide Lawyers in New York City Housing Court Gains Momentum,0,0,0,0
